iso_code,country,sdg_region,bound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,
ARE,United Arab Emirates,Northern Africa and Western Asia,Lower,14.0068,13.3743,12.8248,12.3189,11.8716,11.4827,11.1288,10.8224,10.5615,10.3271,10.1345,9.9478,9.7645,9.5804,9.3989,9.2153,9.0428,8.8580,8.6772,8.4937,8.3102,8.1183,7.9210,7.7124,7.4826,7.2271,6.9262,6.6093,6.2735,5.9245,5.5576,5.1760,4.7877,4.4178,,,,,,,,,
ARE,United Arab Emirates,Northern Africa and Western Asia,Median,15.1399,14.3428,13.6690,13.0870,12.5817,12.1467,11.7759,11.4606,11.1879,10.9422,10.7211,10.5219,10.3271,10.1424,9.9541,9.7616,9.5769,9.3865,9.1992,9.0056,8.8060,8.6108,8.4041,8.1775,7.9318,7.6564,7.3481,7.0141,6.6606,6.3045,5.9554,5.6240,5.3102,5.0286,,,,,,,,,
ARE,United Arab Emirates,Northern Africa and Western Asia,Upper,16.3850,15.3765,14.5348,13.8780,13.3209,12.8470,12.4640,12.1260,11.8403,11.5790,11.3482,11.1447,10.9329,10.7295,10.5245,10.3213,10.1298,9.9319,9.7399,9.5358,9.3259,9.1215,8.9066,8.6750,8.4038,8.1210,7.8012,7.4411,7.0688,6.7081,6.3661,6.0962,5.8785,5.7164,,,,,,,,,
ARG,Argentina,Latin America and the Caribbean,Lower,28.2537,27.8284,27.0752,26.0520,24.9389,23.7792,22.6055,21.5001,20.4900,19.6613,18.9833,18.4258,17.9650,17.4883,16.9613,16.4129,15.9192,15.5066,15.0955,14.6635,14.1680,13.6148,13.0341,12.4357,11.8831,11.3712,10.9149,10.5341,10.1957,9.8880,9.5963,9.2592,8.8874,8.4922,,,,,,,,,
ARG,Argentina,Latin America and the Caribbean,Median,28.7878,28.3616,27.5822,26.5616,25.4186,24.2352,23.0506,21.9156,20.9043,20.0523,19.3566,18.7862,18.3058,17.8300,17.2944,16.7334,16.2292,15.7974,15.3888,14.9440,14.4406,13.8827,13.2863,12.7050,12.1898,11.7465,11.3631,11.0346,10.7455,10.4831,10.2582,10.0469,9.8458,9.6485,,,,,,,,,
ARG,Argentina,Latin America and the Caribbean,Upper,29.3348,28.9139,28.1078,27.0908,25.9115,24.6932,23.4828,22.3121,21.3097,20.4368,19.7240,19.1466,18.6443,18.1683,17.6173,17.0503,16.5359,16.0935,15.6870,15.2286,14.7209,14.1549,13.5413,12.9811,12.5044,12.1303,11.8247,11.5585,11.3255,11.1232,10.9759,10.9192,10.9204,10.9614,,,,,,,,,
ARM,Armenia,Northern Africa and Western Asia,Lower,44.3726,42.5162,40.6341,38.8066,37.0196,35.2875,33.6517,32.0592,30.5240,29.0410,27.5949,26.2092,24.8619,23.5316,22.2680,21.0683,19.9408,18.8656,17.8579,16.9155,16.0061,15.1829,14.4031,13.6708,12.9925,12.3526,11.7257,11.1487,10.6007,10.0674,9.5538,9.0432,8.5381,8.0301,,,,,,,,,
ARM,Armenia,Northern Africa and Western Asia,Median,49.0077,46.9261,44.8700,42.8763,40.9274,39.0445,37.2491,35.5347,33.8674,32.2833,30.7515,29.2827,27.8841,26.5417,25.2292,23.9904,22.8161,21.7062,20.6481,19.6507,18.7093,17.8141,16.9601,16.1563,15.3804,14.6489,13.9707,13.3218,12.7115,12.1320,11.5714,11.0392,10.5306,10.0445,,,,,,,,,
ARM,Armenia,Northern Africa and Western Asia,Upper,54.0165,51.7299,49.4552,47.2240,45.0825,42.9920,41.0509,39.0960,37.2472,35.5194,33.8427,32.2406,30.7190,29.2413,27.8540,26.5120,25.2694,24.1288,23.0381,22.0196,21.0521,20.1531,19.2674,18.4557,17.6970,16.9616,16.2533,15.5993,14.9897,14.4062,13.9200,13.4674,13.0605,12.6775,,,,,,,,,
ATG,Antigua and Barbuda,Latin America and the Caribbean,Lower,11.9591,12.3374,12.7372,13.1626,13.5469,13.8142,13.9781,13.9798,13.8585,13.6541,13.3809,13.0716,12.7179,12.3917,12.0610,11.7600,11.4777,11.2421,11.0029,10.7486,10.5394,10.3048,10.0915,9.9118,9.7233,9.5449,9.3591,9.1169,8.8393,8.4725,8.0784,7.6331,7.2078,6.7933,,,,,,,,,
ATG,Antigua and Barbuda,Latin America and the Caribbean,Median,13.5413,13.9166,14.3168,14.7178,15.0722,15.3551,15.5238,15.5364,15.4298,15.2047,14.9301,14.6122,14.2920,13.9653,13.6403,13.3247,13.0061,12.7120,12.4475,12.1869,11.9440,11.7270,11.5228,11.3350,11.1595,10.9706,10.8097,10.6402,10.4796,10.2791,10.0627,9.8271,9.5832,9.3310,,,,,,,,,
ATG,Antigua and Barbuda,Latin America and the Caribbean,Upper,15.3021,15.6383,16.0321,16.4547,16.8423,17.1311,17.2968,17.3294,17.2191,16.9698,16.6824,16.3827,16.0686,15.7543,15.4158,15.0436,14.6989,14.3525,14.0410,13.7686,13.5372,13.3545,13.1870,12.9875,12.8032,12.6197,12.5106,12.4870,12.5138,12.5736,12.6319,12.6646,12.7292,12.8007,,,,,,,,,
AUS,Australia,Oceania,Lower,9.0247,8.4989,7.9972,7.5511,7.1713,6.8770,6.6469,6.4653,6.3202,6.1915,6.0751,5.9617,5.8659,5.7957,5.7159,5.6134,5.4752,5.3063,5.1179,4.9042,4.6756,4.4436,4.2242,4.0385,3.8890,3.7938,3.7409,3.7158,3.7082,3.7004,3.6878,3.6629,3.6147,3.5262,,,,,,,,,
